"X".	"Y".	"Species".	"Diam"
"474".	11.71.	46.34.	"PISY".	14.48
"475".	13.77.	40.74.	"PISY".	15.28
"476".	15.18.	42.16.	"PISY".	15.56
"477".	11.51.	42.75.	"PISY".	16.17
"478".	14.28.	45.33.	"PISY".	16.78
"479".	13.57.	47.64.	"PISY".	17.44
"480".	15.68.	49.91.	"PISY".	8.19
"481".	12.47.	55.71.	"PISY".	9.73
"482".	14.49.	48.76.	"PISY".	11.32
"483".	12.26.	55.45.	"PISY".	12.39
"484".	12.39.	49.73.	"PISY".	13.65
"485".	9.17.	49.45.	"PISY".	14.1
"486".	10.79.	52.62.	"PISY".	14.35
"487".	9.15.	55.45.	"PISY".	14.36
"488".	12.47.	54.54.	"PISY".	15.05
"489".	10.91.	48.92.	"PISY".	15.18
"490".	14.91.	52.76.	"PISY".	15.63
"491".	15.82.	50.88.	"PISY".	15.79
"492".	13.24.	50.45.	"PISY".	16.24
"493".	10.	49.88.	"PISY".	16.41
"494".	9.81.	51.43.	"PISY".	16.57
"495".	11.53.	55.42.	"PISY".	16.99
"496".	10.7.	50.7.	"PISY".	17
"497".	11.81.	48.61.	"PISY".	17.03
"498".	13.1.	51.55.	"PISY".	17.07
"499".	11.28.	56.56.	"PISY".	8.44
"500".	15.44.	62.55.	"PISY".	8.49
"501".	8.72.	63.04.	"PISY".	8.53
"502".	8.01.	61.41.	"PISY".	8.75
"503".	13.32.	58.08.	"PISY".	8.8
"504".	8.8.	58.58.	"PISY".	9.19
"505".	14.66.	62.48.	"PISY".	10.43
"506".	13.32.	62.61.	"PISY".	11.66
"507".	14.22.	61.84.	"PISY".	11.71
"508".	13.26.	62.11.	"PISY".	14.07
"509".	16.	63.02.	"PISY".	15.91
"510".	15.97.	56.45.	"PISY".	15.92
"511".	10.08.	69.46.	"PISY".	7.82
"512".	14.28.	65.34.	"PISY".	8.45
"513".	11.37.	67.42.	"PISY".	10.09
"514".	10.99.	71.14.	"PISY".	10.47
"515".	9.36.	71.49.	"PISY".	11.8
"516".	13.11.	69.26.	"PISY".	12.14
"517".	15.71.	67.26.	"PISY".	12.54
"518".	8.12.	69.56.	"PISY".	13.29
"519".	9.27.	65.7.	"PISY".	13.5
"520".	15.39.	70.81.	"PISY".	14.15
"521".	8.58.	70.7.	"PISY".	15
"522".	8.42.	78.31.	"PISY".	7.6
"523".	9.36.	77.54.	"PISY".	7.73
"524".	8.61.	75.23.	"PISY".	9.78
"525".	14.09.	77.79.	"PISY".	9.89
"526".	12.	72.81.	"PISY".	10.73
"527".	13.83.	77.1.	"PISY".	11.16
"528".	12.36.	75.2.	"PISY".	11.82
"529".	13.03.	75.34.	"PISY".	11.94
"530".	9.84.	75.76.	"PISY".	13.93
"531".	14.16.	79.87.	"PISY".	15.21
"532".	12.32.	75.31.	"PISY".	16.11
"533".	14.24.	72.38.	"PISY".	16.25
"791".	18.58.	5.73.	"PISY".	8.03
"792".	16.23.	4.83.	"PISY".	8.07
"793".	23.88.	3.89.	"PISY".	8.39
"794".	21.49.	0.45.	"PISY".	8.54
"795".	19.	4.88.	"PISY".	9.83
"796".	21.29.	3.38.	"PISY".	10.15
"797".	19.11.	2.69.	"PISY".	11.47
"798".	16.51.	5.5.	"PISY".	12.8
"799".	22.72.	5.71.	"PISY".	13.34
"800".	20.27.	4.2.	"PISY".	13.59
"801".	16.97.	3.97.	"PISY".	13.64
"802".	17.27.	0.44.	"PISY".	20.4
"803".	23.69.	12.03.	"PISY".	7.85
"804".	23.38.	13.26.	"PISY".	9.37
"805".	22.36.	9.38.	"PISY".	10.01
"806".	18.38.	8.33.	"PISY".	10.98
"807".	18.69.	13.67.	"PISY".	12.22
"808".	23.72.	8.38.	"PISY".	12.91
"809".	23.15.	13.51.	"PISY".	12.95
"810".	17.28.	10.82.	"PISY".	13
"811".	21.89.	10.98.	"PISY".	13.02
"812".	16.97.	11.41.	"PISY".	13.16
"813".	17.58.	10.47.	"PISY".	13.52
"814".	23.78.	12.26.	"PISY".	14.86
"815".	19.45.	14.01.	"PISY".	14.89
"816".	18.93.	9.13.	"PISY".	14.99
"817".	19.95.	8.15.	"PISY".	15.9
"818".	21.2.	8.3.	"PISY".	16.86
"819".	17.01.	13.28.	"PISY".	17.26
"820".	23.43.	21.74.	"PISY".	8.5
"821".	20.99.	19.24.	"PISY".	9.4
"822".	19.93.	21.1.	"PISY".	9.41
"823".	16.88.	20.72.	"PISY".	11.67
"824".	20.4.	21.44.	"PISY".	12.36
"825".	21.96.	16.25.	"PISY".	14.28
"826".	23.41.	16.92.	"PISY".	16.35
"827".	20.35.	17.38.	"PISY".	16.73
"828".	22.59.	22.62.	"PISY".	17.05
"829".	23.32.	26.31.	"PISY".	7.86
"830".	17.19.	31.41.	"PISY".	8.31
"831".	20.26.	30.28.	"PISY".	8.71
"832".	18.25.	26.35.	"PISY".	8.9
"833".	23.38.	28.02.	"PISY".	9.56
"834".	20.8.	24.68.	"PISY".	10.44
"835".	19.	26.64.	"PISY".	11.31
"836".	22.1.	25.85.	"PISY".	11.45
"837".	19.08.	28.95.	"PISY".	11.95
"838".	19.35.	30.31.	"PISY".	12.02
"839".	21.18.	28.34.	"PISY".	12.07
"840".	19.51.	25.72.	"PISY".	12.23
"841".	21.56.	29.44.	"PISY".	13.46
"842".	23.73.	26.98.	"PISY".	15.27
"843".	17.65.	31.32.	"PISY".	17.14
"844".	20.16.	28.57.	"PISY".	17.2
"845".	17.53.	27.21.	"PISY".	17.3
"846".	17.49.	38.05.	"PISY".	8.42
"847".	18.62.	34.03.	"PISY".	8.44
"848".	20.96.	32.45.	"PISY".	9.94
"849".	17.04.	35.11.	"PISY".	10.36
"850".	22.82.	37.2.	"PISY".	10.57
"851".	20.89.	38.8.	"PISY".	11
"852".	21.26.	34.49.	"PISY".	11.14
"853".	23.58.	36.12.	"PISY".	11.7
"854".	17.35.	39.4.	"PISY".	11.79
"855".	16.61.	38.92.	"PISY".	11.94
"856".	17.22.	35.41.	"PISY".	11.97
"857".	19.6.	37.92.	"PISY".	13.45
"858".	18.26.	35.46.	"PISY".	15.77
"859".	19.51.	33.07.	"PISY".	17.22
"860".	17.28.	35.95.	"PISY".	17.49
"861".	19.44.	42.62.	"PISY".	7.93
"862".	18.31.	46.23.	"PISY".	8.21
"863".	17.2.	43.72.	"PISY".	8.24
"864".	17.75.	42.96.	"PISY".	8.29
"865".	16.9.	45.1.	"PISY".	8.49
"866".	17.57.	43.59.	"PISY".	8.74
"867".	22.94.	41.78.	"PISY".	9.43
"868".	21.88.	40.86.	"PISY".	9.43
"869".	18.32.	41.67.	"PISY".	11.06
"870".	21.08.	46.05.	"PISY".	11.2
"871".	19.35.	45.26.	"PISY".	12.09
"872".	20.6.	47.64.	"PISY".	12.27
"873".	21.12.	47.84.	"PISY".	12.72
"874".	20.97.	42.29.	"PISY".	12.73
"875".	21.05.	42.52.	"PISY".	13.31
"876".	16.05.	40.37.	"PISY".	13.85
"877".	16.55.	41.93.	"PISY".	13.85
"878".	23.64.	44.08.	"PISY".	14.33
"879".	21.45.	46.52.	"PISY".	15.01
"880".	17.3.	43.69.	"PISY".	15.19
"881".	17.52.	41.02.	"PISY".	15.61
"882".	23.9.	42.2.	"PISY".	16.06
"883".	16.96.	43.43.	"PISY".	16.83
"884".	16.72.	48.45.	"PISY".	7.64
"885".	17.45.	52.27.	"PISY".	7.89
"886".	16.2.	51.9.	"PISY".	7.95
"887".	20.73.	54.34.	"PISY".	8.28
"888".	21.06.	49.82.	"PISY".	8.64
"889".	18.42.	52.47.	"PISY".	9.9
"890".	20.23.	53.74.	"PISY".	10.06
"891".	16.97.	51.51.	"PISY".	10.56
"892".	21.06.	49.91.	"PISY".	10.86
"893".	20.22.	49.45.	"PISY".	10.97
"894".	22.65.	48.45.	"PISY".	11.2
"895".	17.74.	52.59.	"PISY".	11.54
"896".	21.63.	52.02.	"PISY".	11.76
"897".	19.96.	51.27.	"PISY".	12.88
"898".	18.57.	54.7.	"PISY".	12.89
"899".	23.47.	54.6.	"PISY".	13.13
"900".	20.94.	48.93.	"PISY".	14.33
"901".	16.54.	49.28.	"PISY".	14.39
"902".	20.6.	49.91.	"PISY".	14.45
"903".	17.23.	55.72.	"PISY".	15.01
"904".	17.67.	53.65.	"PISY".	15.26
"905".	23.26.	54.7.	"PISY".	16.01
"906".	23.65.	49.71.	"PISY".	16.48
"907".	19.58.	51.52.	"PISY".	16.69
"908".	21.69.	49.4.	"PISY".	16.7
"909".	18.98.	62.53.	"PISY".	10.17
"910".	18.04.	56.38.	"PISY".	10.66
"911".	16.03.	59.81.	"PISY".	10.81
"912".	22.32.	61.77.	"PISY".	11.74
"913".	21.67.	59.41.	"PISY".	11.98
"914".	23.53.	56.13.	"PISY".	12.13
"915".	16.66.	58.92.	"PISY".	12.28
"916".	17.7.	62.17.	"PISY".	12.79
"917".	19.96.	62.77.	"PISY".	13.81
"918".	22.83.	60.53.	"PISY".	14.62
"919".	22.09.	57.69.	"PISY".	14.98
"920".	19.34.	62.99.	"PISY".	15.15
"921".	21.86.	63.95.	"PISY".	15.39
"922".	18.44.	58.96.	"PISY".	15.6
"923".	21.8.	58.78.	"PISY".	15.89
"924".	21.79.	60.72.	"PISY".	16.32
"925".	16.26.	57.65.	"PISY".	16.91
"926".	18.72.	59.43.	"PISY".	17.02
"927".	20.63.	58.78.	"PISY".	17.18
"928".	18.22.	65.99.	"PISY".	7.91
"929".	19.59.	69.12.	"PISY".	9.03
"930".	21.6.	66.55.	"PISY".	9.22
"931".	20.07.	65.63.	"PISY".	9.97
"932".	18.86.	66.8.	"PISY".	10.08
"933".	19.06.	70.3.	"PISY".	11.08
"934".	23.33.	65.29.	"PISY".	11.77
"935".	19.02.	71.9.	"PISY".	12.28
"936".	22.96.	69.82.	"PISY".	12.83
"937".	22.46.	64.12.	"PISY".	12.87
"938".	21.83.	69.8.	"PISY".	13.53
